Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
1,0,293,2245.838596,3,4493.3,44.01,371.25,2122,146,121.07,104
1,0,307,1954.992982,3,5146.7,67.47,333,2122,146,121.07,104
1,0,321,938.9555556,3,5920,41.67,288.75,2122,146,121.07,104
1,150,293,1740.965497,1,3186.7,44.01,371.25,2122,146,121.07,104
1,150,307,1296.783626,1,4546.7,67.47,333,2122,146,121.07,104
1,150,321,2132.112281,1,4186.7,41.67,288.75,2122,146,121.07,104
1,150,293,2438.777778,2,5866.7,44.01,371.25,2122,146,121.07,104
1,150,307,1365.688889,2,5373.3,67.47,333,2122,146,121.07,104
1,150,321,1150.484211,2,5453.3,41.67,288.75,2122,146,121.07,104
1,150,293,1959.672515,3,4493.3,44.01,371.25,2122,146,121.07,104
1,150,307,1399.193567,3,5146.7,67.47,333,2122,146,121.07,104
1,150,321,1378.992398,3,5920,41.67,288.75,2122,146,121.07,104
0,0,293,1982.01345,1,3933.3,42.08,371.25,2122,146,125.19,104
0,0,307,1238.3,1,4746.7,53.03,333,2122,146,125.19,104
0,0,321,948.2923977,1,4773.3,49.15,288.75,2122,146,125.19,104
0,0,293,2615.754386,2,5333.3,42.08,371.25,2122,146,125.19,104
0,0,307,939.9087719,2,4960,53.03,333,2122,146,125.19,104
0,0,321,1239.391813,2,5240,49.15,288.75,2122,146,125.19,104
0,0,293,2023.596491,3,4960,42.08,371.25,2122,146,125.19,104
0,0,307,1402.54386,3,5533.3,53.03,333,2122,146,125.19,104
0,0,321,1211.74269,3,6893.3,49.15,288.75,2122,146,125.19,104
0,150,293,1772.80117,1,3933.3,42.08,371.25,2122,146,125.19,104
0,150,307,1018.947368,1,4746.7,53.03,333,2122,146,125.19,104
0,150,321,867.5578947,1,4773.3,49.15,288.75,2122,146,125.19,104
0,150,293,2349.810526,2,5333.3,42.08,371.25,2122,146,125.19,104
0,150,307,1461.403509,2,4960,53.03,333,2122,146,125.19,104
0,150,321,1212.421053,2,5240,49.15,288.75,2122,146,125.19,104
0,150,293,1761.134503,3,4960,42.08,371.25,2122,146,125.19,104
0,150,307,1207.8,3,5533.3,53.03,333,2122,146,125.19,104
0,150,321,1218.273684,3,6893.3,49.15,288.75,2122,146,125.19,104
