Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
Maíz,Sin fertilizar,Segunda,5819.3,3,5027,100.48,359.75,1920,133,135.58,133
Maíz,Sin fertilizar,Tercera,7889.3,3,5753,73.35,327.75,1920,133,135.58,133
Maíz,Fertilizado,Primera,6040.5,1,6480,75.93,374.25,1920,133,135.58,133
Maíz,Fertilizado,Segunda,4874.2,1,5027,100.48,359.75,1920,133,135.58,133
Maíz,Fertilizado,Tercera,5007.7,1,5753,73.35,327.75,1920,133,135.58,133
Maíz,Fertilizado,Primera,6914.4,2,6480,75.93,374.25,1920,133,135.58,133
Maíz,Fertilizado,Segunda,6279.6,2,5027,100.48,359.75,1920,133,135.58,133
Maíz,Fertilizado,Tercera,5854.4,2,5753,73.35,327.75,1920,133,135.58,133
Maíz,Fertilizado,Primera,8114.5,3,6480,75.93,374.25,1920,133,135.58,133
Maíz,Fertilizado,Segunda,5442.9,3,5027,100.48,359.75,1920,133,135.58,133
Maíz,Fertilizado,Tercera,5358,3,5753,73.35,327.75,1920,133,135.58,133
Soja,Sin fertilizar,Primera,9147.6,1,8093,43.09,374.25,1920,133,138.17,133
Soja,Sin fertilizar,Segunda,9904,1,8640,81.01,359.75,1920,133,138.17,133
Soja,Sin fertilizar,Tercera,9668.5,1,8367,91.14,327.75,1920,133,138.17,133
Soja,Sin fertilizar,Primera,10195,2,8093,43.09,374.25,1920,133,138.17,133
Soja,Sin fertilizar,Segunda,10126.3,2,8640,81.01,359.75,1920,133,138.17,133
Soja,Sin fertilizar,Tercera,6392.1,2,8367,91.14,327.75,1920,133,138.17,133
Soja,Sin fertilizar,Primera,8155.2,3,8093,43.09,374.25,1920,133,138.17,133
Soja,Sin fertilizar,Segunda,10066.9,3,8640,81.01,359.75,1920,133,138.17,133
Soja,Sin fertilizar,Tercera,6164.5,3,8367,91.14,327.75,1920,133,138.17,133
Soja,Fertilizado,Primera,11056.6,1,8093,43.09,374.25,1920,133,138.17,133
Soja,Fertilizado,Segunda,10240.2,1,8640,81.01,359.75,1920,133,138.17,133
Soja,Fertilizado,Tercera,8722.3,1,8367,91.14,327.75,1920,133,138.17,133
Soja,Fertilizado,Primera,11369.5,2,8093,43.09,374.25,1920,133,138.17,133
Soja,Fertilizado,Segunda,8786.5,2,8640,81.01,359.75,1920,133,138.17,133
Soja,Fertilizado,Tercera,7355.8,2,8367,91.14,327.75,1920,133,138.17,133
Soja,Fertilizado,Primera,7789.9,3,8093,43.09,374.25,1920,133,138.17,133
Soja,Fertilizado,Segunda,7445,3,8640,81.01,359.75,1920,133,138.17,133
Soja,Fertilizado,Tercera,10559.9,3,8367,91.14,327.75,1920,133,138.17,133
Maíz,Sin fertilizar,Primera,1424.621053,1,3186.7,44.01,371.25,2122,146,121.07,104
Maíz,Sin fertilizar,Segunda,1244.837427,1,4546.7,67.47,333,2122,146,121.07,104
Maíz,Sin fertilizar,Tercera,1487.38538,1,4186.7,41.67,288.75,2122,146,121.07,104
Maíz,Sin fertilizar,Primera,2491.529825,2,5866.7,44.01,371.25,2122,146,121.07,104
Maíz,Sin fertilizar,Segunda,1655.4,2,5373.3,67.47,333,2122,146,121.07,104
Maíz,Sin fertilizar,Tercera,2209.801754,2,5453.3,41.67,288.75,2122,146,121.07,104
Maíz,Sin fertilizar,Primera,2245.838596,3,4493.3,44.01,371.25,2122,146,121.07,104
Maíz,Sin fertilizar,Segunda,1954.992982,3,5146.7,67.47,333,2122,146,121.07,104
Maíz,Sin fertilizar,Tercera,938.9555556,3,5920,41.67,288.75,2122,146,121.07,104
Maíz,Fertilizado,Primera,1740.965497,1,3186.7,44.01,371.25,2122,146,121.07,104
Maíz,Fertilizado,Segunda,1296.783626,1,4546.7,67.47,333,2122,146,121.07,104
Maíz,Fertilizado,Tercera,2132.112281,1,4186.7,41.67,288.75,2122,146,121.07,104
Maíz,Fertilizado,Primera,2438.777778,2,5866.7,44.01,371.25,2122,146,121.07,104
Maíz,Fertilizado,Segunda,1365.688889,2,5373.3,67.47,333,2122,146,121.07,104
Maíz,Fertilizado,Tercera,1150.484211,2,5453.3,41.67,288.75,2122,146,121.07,104
Maíz,Fertilizado,Primera,1959.672515,3,4493.3,44.01,371.25,2122,146,121.07,104
Maíz,Fertilizado,Segunda,1399.193567,3,5146.7,67.47,333,2122,146,121.07,104
Maíz,Fertilizado,Tercera,1378.992398,3,5920,41.67,288.75,2122,146,121.07,104
Soja,Sin fertilizar,Primera,1982.01345,1,3933.3,42.08,371.25,2122,146,125.19,104
Soja,Sin fertilizar,Segunda,1238.3,1,4746.7,53.03,333,2122,146,125.19,104
Soja,Sin fertilizar,Tercera,948.2923977,1,4773.3,49.15,288.75,2122,146,125.19,104
Soja,Sin fertilizar,Primera,2615.754386,2,5333.3,42.08,371.25,2122,146,125.19,104
Soja,Sin fertilizar,Segunda,939.9087719,2,4960,53.03,333,2122,146,125.19,104
Soja,Sin fertilizar,Tercera,1239.391813,2,5240,49.15,288.75,2122,146,125.19,104
Soja,Sin fertilizar,Primera,2023.596491,3,4960,42.08,371.25,2122,146,125.19,104
Soja,Sin fertilizar,Segunda,1402.54386,3,5533.3,53.03,333,2122,146,125.19,104
Soja,Sin fertilizar,Tercera,1211.74269,3,6893.3,49.15,288.75,2122,146,125.19,104
Soja,Fertilizado,Primera,1772.80117,1,3933.3,42.08,371.25,2122,146,125.19,104
Soja,Fertilizado,Segunda,1018.947368,1,4746.7,53.03,333,2122,146,125.19,104
Soja,Fertilizado,Tercera,867.5578947,1,4773.3,49.15,288.75,2122,146,125.19,104
Soja,Fertilizado,Primera,2349.810526,2,5333.3,42.08,371.25,2122,146,125.19,104
Soja,Fertilizado,Segunda,1461.403509,2,4960,53.03,333,2122,146,125.19,104
Soja,Fertilizado,Tercera,1212.421053,2,5240,49.15,288.75,2122,146,125.19,104
Soja,Fertilizado,Primera,1761.134503,3,4960,42.08,371.25,2122,146,125.19,104
Soja,Fertilizado,Segunda,1207.8,3,5533.3,53.03,333,2122,146,125.19,104
Soja,Fertilizado,Tercera,1218.273684,3,6893.3,49.15,288.75,2122,146,125.19,104
